question,optionA,optionB,optionC,optionD,solution
Shifting cultivation was generally practiced,around fertile river valleys,in rain forests,in mountainous areas,along dry costal areas,2
In Roman mythology the god of war is ,Mars,Atlas,Apollo,Jupiter,1
What are the names of the tennis William's sisters? ,Venus and Serena,Aprodite and Serena,Diana and Venus,Jane and Sally,1
Researchers believe there is a correlation between aggressive tendencies in animals and which of the following hormones?,Estrogen,Adrenaline,Nonadrenaline,Testosterone,4
The two 'equinoxes' take place respectively in the months of,January and June,July and December,March and September,September and December,3
The study of soils is called,geomorphology,pedology,hydrology,biogeography,2
The most densely populated country of Africa is,Mauritius,Rwanda,Burundi,Sierra Leone,1
In what year were women granted the right to vote in the last Swiss canton?,1856,1948,1972,1990,4
The first artist to surpass 70 million digital sales in June of 2014 the Recording Industry Association of America named which artist as its highest-selling digital act of all-time?,Lady Gaga,Miley Cyrus,Shakira,Katy Perry,4
Which of the following was NOT acquired by the United States at the end of the Spanish-American War?,Puerto Rico,The Phillipines,Cuba,Guam,3
Which of the following is concerned with the study of characteristics origin and development of land forms?,Ecology,Geography,Geology,Geomorphology,4
The loudness of a sound is determined by what property of a sound wave?,Frequency,Wavelength,Velocity or rate of change,Amplitude or height,4
The umbra is,the inner portion of the moon's shadow,formed by tangents to the sun and moon,both (a) and (b),None of the above,3
Most people belonged to what religious institution during the Middle Ages?,Baptist Church,Catholic Church,Lutheran Church,Protestant Church,2
John F. Kennedy was assassinated in,Dallas,1958,1973,Austin,1
What beverage was invented by Charles Alderton in 1885 in Waco Texas?,Cream soda,Coca-Cola,Dr. Pepper,Sprite,3
When did Iceland become independent from Denmark?,1918,1878,1948,1978,1
The main period of Mesozoic era include,Triassic period and Cretaceous period,Jurassic period and Triassic period,Triassic period Jurassic period and cretaceous period,Cretaceous period and Jurassic period,3
Optical fibre works on the,principle of refraction,total internal reflection,scattering,inference,2
Katarina Witt has been one of the world's brightest skating stars what country did she represent?,East Germany ,West Germany,Austria,Switzerland,1
In 2000 who equalled Willie Renshaw's record of seven Wimbledon Men's Singles titles?,Leyton Hewitt ,Roger Federer,Pete Sampras,Rafael Nadal ,3
Without ____ the equator would be much hotter than it is while the poles would be much cooler,latitudinal redistribution of heat,cycle of air circulation,global wind pattern,The answers above are similar terms,4
In Snooker what colour is the ball that has a value of seven points?,black,green ,white,red,1
The lowermost and the oldest epoch of the Tertiary Period of geologic time is,Pilocene,Palaeozoic,Holocene,Palaeocene,4
Which of the following characters is a villain that might be found in a Spider-Man comic (or movie)?,Sandman,Joker,Penguin ,Riddler,1
Who had a hit in the 2000s with Alejandro?, Lady Gaga ,Madonna, Beyonce ,Kim Kardashian ,1
The strongest bonds exist between the particles found within,metamorphic rocks,igneous rocks,sedimentary rock,all have similar strength of bonds,2
At what age do children typically begin 'the babbling phase' of speech development? ,2-4 months,5-6 months,7-10 months,11-14 months,3
In the original story Hansel and Gretel get assistance from what kind of creature on their way home from the witch's home?,A Frog,A Duck,A Horse,An Eagle,2
Solar eclipse will take place when,the sun is between the moon and the earth,the earth is between the moon and the sun,the moon is between the sun and the earth,the moon does not lie on the line joining the sun and the earth,3
How many players are there in a Rugby League team?,13,9,20,15,1
What was one of the greatest differences between Harappan and Chinese civilization?,Use of written language,Significance of shamans and priests,Two great capitals,Failure to provide the basis for a continuous civilization,4
Who received the Nobel Peace Prize for the year 2000?,John Hume and David Trimble for efforts to find a peaceful solution to conflict in Northern Ireland,South Korea's President Kim Dae Jung for gestures of peace towards North Korea,Princess Diana for landmine campaigning,Bill Clinton for peace negotiations in Israel,4
What was the first country to allow women to vote?,USA,New Zealand,France,Canada,2
The polar diameter is ____ to the equatorial diameter.,more,equal ,less,they cannot be compared,3
In ice hockey what is the sin bin?,Penalty box,Lateral box,Horizontal box,Vertical Box,1
What is the #1 cause of preventable death in North America?,Marijuana use,Cigarette smoking,Heroin overdose,Alcoholism,2
Who is Pride and Prejudice written by?,Jane Austen ,Danielle Steele,Brothers Grimm,Walt Disney ,1
The term 'D-Day' refers to,the Allied invasion of the coast of Normandy,the Allied Invasion of Southern France,the Allied Invasion of Italy,the Soviet Invasion of Germany,1
What criminal act was central to the Watergate scandal that ultimately led to President Nixon resigning in 1974?,A murder,A burglary,Jury tampering,Bribery,2
In 2004 the Olympic Games 'came home' to which city?,Budapest,Cairo,Athens,Damascus,3
Who created the famous sculptures of The Thinker and The Kiss?,Donatello,Gustav Klimt ,Auguste Rodin,Gian Lorenzo Benini,3
What is the definition of the Renaissance?,Rewind,Rebirth,Reconnection,Decline,2
According to Matthew 27 in the Bible what prisoner was released by Pontius Pilate instead of Jesus?,Barabbas,Mark,Judas,Paul,1
The psychological conflict 'industry vs. inferiority' takes place in which of Erickson's Psychosocial stages development?,Adolescence,Young adulthood,School age,Preschool,3
Who sang the national anthem of USA during Obama's inauguration?,Beyonce,Rihanna,Madonna,Adele,1
Who was the author of the famous storybook 'Alice's Adventures in Wonderland'?,Rudyard Kipling,John Keats,Lewis Carroll,H.G. Wells,3
The R-horizon of soil horizon consists of,unweathered bedrock,weathered parent material,plant litter at various levels of decomposition,None of the above,1
When did Switzerland become neutral?,1271,1417,1948,1515,4
In the story of Jack and the Beanstalk which of these items is not an item that Jack stole from the giant?,A Bag of Gold,A Harp ,A Sword,The Goose,3
Who painted a number of paintings of water lillies in his garden at Giverney? ,Michaelangelo,Donatello,Raphael,Claude Monet ,4
Carpe diem. Seize the day boys. Make your lives extraordinary.' is a quote from which famous movie?,Chariots of Fire,Dead Poets Society,Gandhi,Good Will Hunting,2
How many players are there in a team playing a Futsal Tournament?,13,10,6,5,4
Which two figures are normally found in a Pieta sculpture?,Jesus and the Virgin Mary,2 Angels,Jesus and the Devil,Joseph and the Virgin Mary ,1
The smallest division of geological time scale is,eon,eras,stage,periods,3
The mean distance of the earth from the sun is approximately,149'502'000 km,150'503'000 km,148'000'000 km,150'000'000 km,1
Which famous film star did Pop artist Andy Warhol make more portraits of than any other?,Madonna,Michael Jackson,Mariah Carey,Marilyn Monroe,4
The phenomenon of an opening occurring in the earth's surface through which a jet of hot water and steam is forced out at irregular intervals is called,crater,geyser,hot spring,volcano,2
When was the first Wimbledon Tournament held?,1877,1950,1990,2000,1
What was one means by which Greco-Roman and Judeo-Christian values spread through Europe in the first centuries A.D.?,Explorers in the Age of Discovery,Expansion of the Roman Empire,Missionaries building churches,Conversion by the sword in Africa,2
Bar' is the unit of,temperature,heat,atmospheric pressure,current,3
The term 'Abyssal' refers to,inner most part of the earth,organism found in the shallow water zone of the seas,deeper parts of the oceans,None of the above,3
Plants receive their nutrients mainly from,chlorophyll,atmosphere,light,soil,4
The gas usually filled in the electric bulb is,Nitrogen,Hydrogen ,Carbon dioxide,Oxygen,1
The type of igneous rock that form from magma is a function of,the chemical composition of the magma,temperature of solidification,the rate of cooling which influences the crystallisation process,All of the above,4
The main percentage of the volume of water in the hydrosphere is in,oceans and seas,groundwater rivers and streams,glaciers and ice sheets,freshwater lakes and water vapours,1
How many balls are used in a game of Pool?,10,3,16,8,3
Why is Venus hotter than Mercury?,Because Venus is closer to the sun,Because Venus is farther away from the sun,Because of green house gasses,Because of red house gasses,3
Which of the following is a non metal that remains liquid at room temperature?,Phosphorous,Bromine,Chlorine,Helium,2
Which colour does not make up the Olympic Rings?,Red ,Blue,Purple,Yellow,3
What is the crouched position in downhill racing on smooth straight slopes called?,Mouse position,Bee position,Egg position,Closed position,3
Which Italian novel for children has been adapted in over 240 languages?,Geronimo Stilton,The Godfather ,The Adventures of Pinocchio,Don Quixote,3
For how many years did dinosaurs live on earth?,200 million years ,65 million years ,10 million years ,5 million years ,1
The closest star to the Earth is:,Proxima Centauri,The north star,Venus,The sun,4
The part of the earth and thin layer of air above its surface which support life on earth are referred to as,stratosphere,ionosphere,biosphere,mesosphere,3
OS' computer abbreviation usually means?,Order of Significance,Open software,Operating System,Optical sensor,3
Reaching number one on the Billboard Hot 100 in May 2014 who recorded the song 'All of Me'?,Bruno Mars,John Legend,John Mayer,Pharrell Williams,2
How many Karats is pure unalloyed gold?,32,24,18,9,2
What do Indians do to celebrate the Hindu festival of Diwali? ,Fast from dawn to dusk,Throw coloured powder,Set out candles and oil lamps,Put up a tree,3
The Spanish explorers who travelled throughout North America were searching primarily for what?,Land to build their own colonies,Trade with the indians,Gold,Beaver fur,3
Air is a/an,compound,element,electrocyte,mixture,4
In which country can the giant panda be found?,Indonesia,China,Thailand,Vietnam,2
The maximum soil fertility occurs in the pH range of,5.0 to 6.2,6.0 to 7.2,7.0 to 8.2,4.0 to 5.2,2
The monsoon climatic regions are,South-east Asia including Australia Africa America,Europe and South America,Asia Africa and Antarctica,None of the above,1
When the Roman Empire was thriving how many years did the average Roman live? ,65,48,36,22,4
The highest average salinity amongst the following seas is reported from,Dead Sea,Red Sea,Black Sea,Mediterranean Sea,1
Which of the following metals remain in liquid for under normal conditions?,Radium,Zinc,Uranium,Mercury,4
The most significant contribution of the early Jewish state to Western civilization was,its emphasis on divine kingship,its use of elaborate rituals concerning death,its sense of a divine plan,the development of a strong monotheistic religion,4
Which of the following symptoms is NOT associated with Schizophrenia? ,Delusions ,Hallucinations,Increased Social Interaction,Formal thought disturbances,3
Summer temperatures rarely above 40 degrees Celsius and fairly mild winters occur in the,tropical mid-latitude zone,sub-tropical latitude zone,temperature mid-latitude zone,sub-temperature latitude zone,3
Which of the following places is most southern?,Cape of Good Hope Africa,Cape of Horn S. America,Colombo Sri Lanka,Wellington New Zealand,2
How many bits is a byte?,4,8,16,32,2
Of the following what drug can lead to the user to experience the 'disinhibition effect'?,Nicotine,LSD,Alcohol,Lithium,3
The spiral flow in a stream caused by channel shape is called,stream flow,laminar flow,turbulent flow,helical flow,4
The original founders of Common wealth of Independent States in December 1991 are,Tadjikistan Khirghizia and Turkemenistan,Armenia Georgia and Azerbaijan,Armenia Georgia and Azerbaijan,Moldavia Khazakhastan and Uzbekistan,3
In which sport do two teams pull at the opposite ends of a rope? ,Ice Hockey,Basketball,Tug of War,Polo,3
Who is the fictional detective created by Conon Doyle? ,Homer Simpson ,Sherlock holmes,Robert Langdon,Miss Maple,2
What is a 'piste'?,Downhill ski trail,Uphill ski trail,Cable car,Snowboard,1
The modern theory of plate tectonics states,the creation of oceanic crust and the drifting of continents,the convention currents within the earth's mantle cause the creation of new oceanic crust at the mid oceanic ridges,that the oceanic crust is destroyed at areas where this crust type becomes subducted under the lighter continental crust,All of the above,4
Since 1993 the criteria that define whether a country is eligible to join the European Union is named after which city?,Valencia criteria,Athens criteria,Copenhagen criteria,Bristol criteria,3
The Philippines' MassKara festival is dedicated to what behaviour?,Marriage,Smiling,Death,Birth,2
What did Benjamin Franklin invent?,Bifocal spectacles,Radio,Barometer,Hygrometer,1
The Spanish Armada,caused Spain to abandon New World colonization as a result of its defeat,was destroyed by a storm before it left Spain,was a treasure fleet attacked by the English,attempted to invade England,2
How long is an elephant's gestation period?,6 months,9 months,22 months,26 months,3
Plant development is influenced by,quality of light only,quality and quantity of light,quality and duration of light,quality quantity and duration of light,4
The Battle of Hastings in 1066 was fought in which country?,France,Russia,England,Norway,3
How many colours the sunlight spectrum has?,three,seven,four,five,2
How long did Rip Van Winkle sleep for ,10 years ,20 years,30 years ,40 years,2
In Sherlock Benedict Cumberbatch is Sherlock Holmes but who plays Doctor Watson?,Martin Freeman,Tom Cruise,Johnny Depp,Brad Pitt,1
In which film series would you expect to film Katniss Everdeen and Peeta Malark?,Home Alone ,Twilight,The Hunger Games,Harry Potter,3
Which of the following is tropical grassland?,Taiga,Savannah,Pampas,Prairies,2
What was the most significant early U.S. victory in the Pacific theatre?,Battle of the Coral Sea,Wake Island,Iwo Jima,Midway,4
What is the median of the following set of numbers: 12  8  13  4  7  6  3  15,12,8,7,7.5,3
The main active constituent of tea and coffee is,nicotine,chlorophyll,caffeine,aspirin,3
Skateboards were first marketed in which decade?,1950's,1960's,1970's,1980's,2
What was the name of Captain Nemo's submarine?,Nauticus,Nautica,Nautilus,Nemo,3
Who discovered the tomb of King Tut-Ankh-Amun?,Howard Carter and Lord Carnarvon,Thomas Young,Jean-Francois Champollion,George Reisner and James Breasted,1
Which celebrity is rapper Jay-Z married to?, Beyonce ,Madonna,Lady Gaga,Kim Kardashian ,1
Who is the Norwegian explorer (1872-1928) who became the first man to reach the South Pole?,Raold Amundsen,Thor Heyerdahl,Vitus Bering,Willem Barentsz,1
The Chernobyl disaster that occurred on April 26 1986 in the Ukraine refers to what kind of event?,An outbreak of tuberculosis,An earthquake,A nuclear power-plant accident,Economic callapse,3
What was last used at Wimbledon in 1987?,Wooden rackets,Metal rackets,White balls,Green balls,1
The least explosive type of volcano is called,Basalt plateau,Cinder cone,Shield volcanoe,Composite volcanoe,1
The term 'Face off' is used in which sport?,Tug of War ,Ice Hockey ,Rugby,Soccer,2
What famous 5th century A.D. conqueror was known as 'The Scourge of God'?,Hannibal,Julius Caesar,William the Conqueror,Atilla the Hun,4
Which eccentric Dutch artist is known for chopping off part of his ear,Claude Monet ,Pablo Picasso,Vincent van Gogh,Gustav Klimt,3
In what year did Apartheid officially end?,1964,1974,1984,1994,4
Which Roman Emperor built a massive wall across Northern Britain in 122 A.D.?,Marcus Aurelius,Hadrian,Nero,Augustus,2
Which country won its first football World Cup in the 1954 final known as 'The Miracle of Bern'?,Switzerland,South Africa,West Germany,Singapore,3
What ancient river civilization lies between the Tigris and Euphrates rivers?,China,Indus,Egypt,Mesopotamia,4
Which of the following is an element?,Ruby,Sapphire,Emerald,Diamond,4
The period of daylight,is nearly constant near the equator,varies with latitude and the season,reaches a maximum of 24 hour in the polar zones in summer,All of the above,4
In the winter olympics which of the following is a team sport?,Ice Hockey,Big Air,Slopestyle,Ski jumping,1
What is the most valuable commodity added to establish trading systems by the trans-saharan trade?,Copper,Pottery,Salt,Spices,3
In an International Athletics Event how many throwing disciplines are there?,2,3,4,5,3
In the Grimm's German fairy tale what was the name of the person who imprisoned Rapunzel?,Dame Wanda,Dame Gothel,Lady Griselda,Lady Satin,2
Who are the three invaders who drove the Britons out of Britain?,Angles Saxons Jutes,Angles Jutes and Scops,Saxons Celts Romans,Germans and Danish Invaders,1
From the Godfather what is the first name of the character who utters the line 'I'm gonna make him an offer he can't refuse'?,Vito,Frederico,Santino,Michael,1
At which type of race do you not cross the finishing line?,Marathons,Running sprints,Swimming,Cycling,3
The variation in the duration of the day and the night is due to earth's,rotation on its axis,revolution around the sun,inclination of an angle of 60(1/2) degrees,both (a) and (b),4
Which team are the current 2015 Swiss Football Champions?,FC Basel,FC St.Gallen,FC Luzern,FC Sion ,1
The first successful printing press was developed by this man,Johannes Gutenburg,Benjamin Franklin,Sir Isaac Newton,Martin Luther,1
Which of the following is an igneous rock?,Granite,Limestone,Slate,Quartzite,1
Who invented Electric Generator?,Sir Alexander Graham Bell,Michael Faraday,Alfred B. Nobel,Thomas Alva Edison,2
What is the highest grossing Australian movie?,Moulin Rouge,Australia,Mad Max,Crocodile Dundee,4
What is Spartacus famous for?,Leading a major gladiator revolt,Being the only gladiator to become a free man,Starting the first gladiator school,Killing Emperor Nero,1
The river Jordan drains into the,Dead Sea,Adriatic Garden,Gulf of Suez,Resaca Garden,1
What Sir Isaac Newton invented?,Reflecting telescope,Chronometer,Microscope,Spectacles,1
The great Victoria Desert is located in,Canada,West Africa,Australia,the USA,3
In what city does Leo Tolstoy's novel War and Peace begin?,Moscow,Omsk,Saint Petersburg,Samara,3
Of the following which ways do at least one species of fish reproduce?,By laying egges (oviparous),By keeping the egges in the body until they hatch (ovoviparous),having a direct tissue connection with the developing embryos and giving birth to live young(viviparous),all of the above,4
The song 'Locked Out in Heaven' by Bruno Mars is from which album?,Unorthodox Jukebox,Red ,Wild ones,Doo-Wops and Hooligans,1
The lowest point on land in the world is,Death Valley USA,Caspian Sea Russia,Dead Sea Jordan/Israel,Lake Eyre Australia,3
What wiped out the inhabitants of the ancient Roman city Pompeii? ,Influenza,A volcanic eruption,Locusts,War,2
How many competitors form a team in Bobsleigh racing?,2 or 4,2 or 6,5 or 10,5 or 6,1
The Ice age ended about ____ years ago.,140,1400,14000,140000,3
In which Shakespearean play do you find the character Shylock? ,Macbeth ,Romeo and Juliet ,Snow white,The Merchant of Venice ,4
The former Swiss national anthem 'Rufst du mein Vaterland' used to share the tune of which other national anthem?,The Marseillaise,The Stars and Stripes,Einigkeit und Recht und Freiheit,God save the Queen,4
Who was said to 'float like a butterfly sting like a bee'?,Muhammad Ali,Usain Bolt,Micheal Jordon,Ian Thorpe,1
In the Greco-Roman view the world is governed by natural laws that can be discovered through,reason,tradition,faith,citizen participation,1
Which of the following is not one of the lobes in the human cerebral cortex?,Frontal lobe,Temporal lobe,Occipital lobe,Central lobe,4
What is unique about ants bees and wasps compared to other insects,The females stay with her eggs until they begin to hatch ,The males have to fight the females off to stop her from eating her eggs,They lay their eggs underground,Their eggs hatch many months after they are laid,1
What was Elvis Presley's first hit in 1956?,Heartbreak Hotel,Go West,Radioactive,Viva La Vida,1
Which British author wrote Treasure Island while recuperating in Davos?,Charles Dickens,William Shakespeare,George Orwell,Robert Louis Stevenson,4
During the reign of which King of England was Hans Holbein the Younger a prominent painter?,David ,Richard ,Phillip ,Henry VIII,4
The part of continental margin that is structurally a part of continent?,Continental Shelf,Continental Slope,both (a) and (b),None of the above,3
The Olympic Flame symbolises,unity among various nations of the world,speed perfection and strength,sports as a means for securing harmony among nations,continuity between the ancient and modern games,4
Which metal pollute the air of a big city?,Copper,Chromium,Lead,Cadmium,3
What was the original title of the book on which the film Schindler's List was based?,Schindler's Ark,Schindler's Boat,Schindler's Book,Schindler's War,1
Who tutored Alexander the Great?,Socrates,Plato,Aristotle,None of the above,3
The human body is made up of several chemical elements. The element present in the highest proportion (65%) in the body is,carbon,hydrogen ,oxygen,nitrogen,3
World human rights day is on,10-Nov,10-Dec,10-Jan,10-Feb,2
Decibel is the unit for,speed of light,radio wave frequency,intensity of sound,intensity of heat,3
Which TV character said 'Live long and prosper'?, Mr Spock,Dr Suess,Doctor Watson,E.T. ,1
Who had a hit in 2006 with 'Irreplaceable'?,Beyonce,Rihanna,Madonna,Miley Cyrus,1
Confucianism encourages its followers to,learn from foreigners,seek principles of sciences,believe their rulers were not in anyway divine,follow ethical rules to promote harmony and order,4
Pollination is best defined as,transfer of pollen from anther to stigma,germination of pollen grains,growth of pollen tube in ovule,visiting flowers by insects,1
Which one of these aren't one the layers of the sun?,The core,Photosphere,Cromosphere,Jungliosphere,4
The spring season in the north temperate zone is when,the sun is directly overhead the equator,the sun is directly overhead the Tropic of Cancer,the sun returns to equator,the sun is at the Tropic of Cancer,1
What does the T.T. stand for in The Isle of Man T.T. races?,Tourist Trophy,Tourist Ton,Tourist Trials,Trophy Trials,1
What was the first name of Agatha Christie's Miss Marple?,Jane,Kate,Mary,Olivia,1
Fill in the blanks of this well-known Apollo 13 quote - '___ we have a problem'.,Houston,Washington,New York,Texas,1
The periodic rise and fall of the sea level on the earth gives rise to tides. This is related to,the position of the moon with reference to the earth and the gravitational pull exerted mainly by the moon and partly by the sun,infrared rays from the sun,ultraviolet rays from the sun,None of the above,1
To be or not to be - That is the question' is a very famous Shakespearean quote. In which play would you come across this famous quote?,Macbeth ,Hamlet,Twelfth Night ,Tempest,2
In what year did Alfred Hitchcock's film 'Psycho' first debut?,1960,1965,2000,2016,1
Which year did the popular series 'CSI: Las Vegas' end?,2012,2015,2010,2013,2
The first metal used by man was,Iron,Copper,Gold,Bronze,2
The most abundant rare gas in the atmosphere is,He,Ne,Ar,Xe,3
When your body needs to fight off infection which mineral is important to have? ,Calcium,Iron,Zinc,Potassium,3
Night blindness is cause by lack of which vitamin?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,1
The river situated along the border between the USA and Mexico is,the Rio Grande,the Amazon,the Mississippi,the Colorado,1
In the story of Snow White and the Seven Dwarfs how did the evil witch poison Snow White?,With an Apple,With a Rose,With a Sandwich,With a Cake,1
What distinctive sound is heard during Rosh Hashanah services in Jewish temples?,The clip-clop of horses' hooves,The ringing of ship's bells,The blowing of a ram's horn,None - it's a silent service,3
A chronometer measures,color contrast,sound waves,time,water waves,3
The major motion of the planet earth includes,rotation,revolution,both (a) and (b),any of these depending upon the question under construction,3
Light from the Sun reaches us in nearly,5 min,4.3 hrs,8 min,5.3 hrs,3
Which of the following is NOT true about women's rights in ancient Egypt?,They could own property,They could initiate divorce,There were women pharaohs,They often had more than one husband,4
Who invented the Polio vaccine?,Marie Curie,Isaac Newton,Albert Einstein,Jonas Salk,4
The main Axis powers of WWII consisted of,Germany Russia Japan,Germany Italy Romania,Germany Finland Japan,Germany Italy Japan,4
In which popular movie trilogy which ran from 1985 to 1990 would you find the character of Emmett Lathrop 'Doc' Brown?,Back to the Future,Three Colors,The Matrix,Toy Story,1
Who directed the movies 'Jaws' 'Schindler's List' and 'Jurassic Park'?,Stephen Spielberg ,Steve Smith ,Stephen Dorf,Sam Spielberg,1
The Khmer Rouge was a regime ruling this nation in the 20th century.,Vietnam,Laos,Cambodia,China,3
The most malleable metal is,platinum,silver,iron,gold,4
The major crude oil markets are in the,Middle East regions,Far East regions,both (a) and (b),None of the above,3
Pulses are a good source of,carbohydrates,fats,proteins,vitamins,3
Potato is a modified form (outgrowth) of,root,stem ,fruit,leaf,2
United Nations adapted a Charter of Economic Rights in the year,1969,1974,1956,1964,2
Who wrote the Booker Prize winning novel The Life of Pi? ,Mark Haddon,Yann Martel ,Markus Zusak,William Golding ,2
Tetraethyl lead is used as,Pain killer,Fire extinguisher ,Mosquito repellent,Petrol additive,4
The Swiss Confederation consists of 26 cantons. Which one of these joined most recently?,Luzern,Obwalden,Geneve,Zurich,3
Plants synthesis protein from,starch,sugar,amino acids,fatty acids,3
The initial increase of magnetic field in magnetic storms is caused,when the shock wave associated with the gusty solar wind compresses the magnetosphere,when there is a large decrease in field intensity,when the gust wind itself engulfs the magnetosphere,None of the above,1
The number of electrons presents in H+ is,zero,one,two,three,1
Metals are good conductors of electricity because,they contain free electrons,the atoms are lightly packed,they have hight melting point,all of the above,1
In 1988 Soviet leader Mikhail Gorbachev introduced the policy known as Glasnost to the Soviet Union. What does glasnost mean?,Freedom,Democracy,Reform,Openness,4
Starring Tom Cruise and Emily Blunt which movie features Lt. Col. Bill Cagean officer caught in a time loop in a war with an alien race?,Guardians of the Galaxy,22 Jump Street,Ender's Game,Edge of Tomorrow,4
How was the Greek goddess Athena born?,A ragged artists chiseled her from stone and breathed life into her,She materialised from a rainbow,She sprung fully grown out of her father's head,She was born of sea foam,3
After all tomorrow is another day' is spoken by Vivien Leigh in which film?,The Apartment,Some Like it Hot,All About Eve,Gone With the Wind,4
Outer covering of virus made up of protein is,capsid ,coat,virion,viriod,1
What do Archaeologists call the assignment of specific tasks to specific people?,Specialization,Domestication,Migration,Circulation,1
 In 1991 two German tourists traveling in the Alps discovered what frozen in a glacier?,A nuclear missile from WWII,The mummified remains of a man dating back over 5000 years. ,The Shroud of Turin,Mummified remains from passengers of the Titanic.,2
Deaf females of which insect will not mate because the male uses sound to attract?,Grasshoppers,Spiders,Ladybugs,Bees,1
In Hans Christians Anderson's story the 'Snow Queen' what do the Queen's tears turn into?,Flowers,Rain,Snow flakes,Butterflies,1
Which swimmer is best known as the Torpedo?,Usaine Bolt,Ian Thorpe ,Magic Johnson ,Oscar Pistorius,2
What is the largest star known to man?,sirius,vega,vy canis majoris,deubhe,3
The Puritans valued,individualism,democracy,harmony and order,the pursuit of wealth,3
Which one of the following statements is NOT true about Mussolini's reign?,Newspapers and books were censored,The year of 1922 was renamed Year One,Women were encouraged to use birth control and to limit the number of children to two per family,Education was monitored and schoolbooks were rewritten,3
What is the name of the rat in the movie Ratatouille?,Remy,Ratatouille,Ronin,Randy,1
The infrared radiation by sun are strongly absorbed by,carbon dioxide,water vapours,carbon dioxide and water vapours,ozone,1
The latitude of a place expresses its angular position relative to the plane of,Greenwich,North Pole,South Pole,Equator,4
Name the singer and the song title that contains the lyrics 'My life is brilliant my love is pure I saw an angel...'?,James Blunt,Jason Mraz,Lady Gaga,Kanye West,1
Who aged 16 was the youngest winner of the Ladies Singles title in the 20th century?,Venus Williams,Martina Hingis,Maria Sharapova,Steffi Graf,2
Who of the following is not a painter?,Giovanni Giacometti,Alberto Giacometti,Richard R. Ernst,Donato Giancolo,3
Coal a common fossil fuel is formed from which of the following types of organic matter? ,Freshwater algae,Bodies of dead animals,Marine organisms,Tree trunks leaves and freshwater plants,4
Who developed the idea of Crop Rotation?,Potato Peterson,Turnip Townsend,Cabbage Carlson,Swede Svenson,2
Which famous pop singer recently changed her citizenship to Swiss?,Kesha,Tina Turner,Rihanna,Ellie Goulding,2
The International Court of Justice is located at,Geneva,The Hague,Amsterdam,Vienna,2
Who came up with the heliocentric theory?,Galileo,Copernicus,Newton,Fleming,2
Adolf Hitler was born in which country?,Hungary,Austria,France,Germany,2
The Rhine river of northern Europe empties into,the Baltic sea,the North sea,the Bay of Biscay,the Adriatic sea,2
Where does the word phobia come from?,From a Greek word meaning flight of fear,From a latin word meaning distress,From the word phobias meaning radiant,From DR. Phoebe a Swiss psychiatrist who coined the term,1
Which of the gas is not known as green house gas?,Methane,Nitrous oxide,Cardon dioxide,Hydrogen,4
Which of these bands  were part of the 'British Invasion' in the 1960s?,Imagine Dragons,The Beatles,Creedence Clearwater Revival,Coldplay,2
Which of the following structures is correct for the social class system during the Middle Ages?,President senate house of representatives,King lord knight peasant,Dictator and peasants,Pope knight king lord peasant,2
In which year of the 1980's did the colour of the balls at Wimbledon change from white to yellow?,1986,1980,1981,1982,1
Nautical mile is a unit of distance used in,navigation,road mile,astronomy,measuring the boundaries of a nation,1
Who is the lead singer of Silverchair?,David myers,John David,Daniel Johns,James David,3
What is the name given for one stroke over par for a single hole in golf?,A bogey,A Birdy,A Goal,An Ace,1
What is always found in Obsessive Compulsive Disorder (OCD)?,Hallucinations,Obsession with washing,Phobias,Irrational impulses,4
Who co-founded Hotmail in 1996 and then sold the company to Microsoft?,Shawn Fanning,Ada Byron Lovelace,Sabeer Bhatia,Ray Tomlinson,3
The major pedogenic process acting on soils at the macro scale are,laterisation and podsolisation,calcification and salinisation,salinisation and gleisation,All of the above,4
Which of the following metals forms an amalgam with other metals?,Tin,Mercury,Lead,Zinc,2
Which of the following creatures usually mates with the same partner for life?,Penguins,Spiders,Horses,Polar Bears,1
Who is the world famous author who is the youngest recipient of Nobel Prize for Literature? ,Shakespeare ,Salmon Rushdie,Rudyard Kipling,Conon Doyle ,3
Photosynthesis generally takes place in which parts of the plant?,Leaf and other chloroplast bearing parts,stem and leaf,Roots and chloroplast bearing parts,Bark and leaf,1
Who was the first non British player to win the Men's Singles title in 1907?,Norman Brookes,Novak Djokovic,Howard Eckleston,Andy Murray ,1
Large astronomical telescopes always use as objective,lens,mirror,combinations of lenses,none of the above,3
Dry ice is,Regular ice with all the moisture sucked out,Frozen water with the addition of special chemicals to make it smoke,Frozen Carbon Dioxide,Frozen Helium,3
The most commonly used bleaching agent is,alcohol,carbon dioxide,chlorine,sodium chlorine,3
The property of a substance to absorb moisture from the air on exposure is called,Osmosis,Deliquescence,Efflorescence,Desiccation,2
Which of the following can be associated with Justin Timberlake?,Wine and Cheese,Suit and Tie,Pants and Shirt,Salt and Pepper,2
Who wrote 'Where ignorance is bliss it is folly to be wise' ?,Browning,Marx,Shakespeare,Kipling ,3
Who had a hit in the 2000s with Grace Kelly?, Mika ,Otto,50 Cents,Pablo,1
Who is the author of 'The Adventures of Huckleberry Finn'?,Mark Twain,Charles Dickens ,Shakespeare,Rudyard Kipling ,1
Pa(Pascal) is the unit for,thrust,pressure,frequency,conductivity,2
The island state of Australia is,Victoria,Queensland,Tasmania,New South Wales,3
